cty,municipality,democratic,independent,republican,tbc
AND,Auburn,1288,6659,4000,11947
AND,Durham,251,1551,1095,2897
AND,Greene,154,1149,1281,2584
AND,Leeds,87,629,661,1377
AND,Lewiston,2063,8639,5195,15897
AND,Lisbon,429,2541,1980,4950
AND,Livermore,92,650,630,1372
AND,Livermore Falls,114,620,633,1367
AND,Mechanic Falls,127,834,761,1722
AND,Minot,120,836,828,1784
AND,Poland,194,1808,1473,3475
AND,Sabattus,195,1361,1373,2929
AND,Turner,188,1681,1661,3530
AND,Wales,52,374,502,928
,AND Total,5354,29332,22073,56759
,,,,,
ARO,Allagash,14,66,56,136
ARO,Amity,14,42,88,144
ARO,Ashland/Twps,44,300,296,640
ARO,Benedicta Twp/Silver Ridge Twp,4,59,106,169
ARO,Blaine,21,163,174,358
ARO,Bridgewater,16,110,157,283
ARO,Caribou/Connor,273,2009,1568,3850
ARO,Castle Hill,18,113,85,216
ARO,Caswell,6,72,43,121
ARO,Chapman,7,142,113,262
ARO,Cross Lake Twp,7,90,58,155
ARO,Crystal,5,54,88,147
ARO,Cyr Plantation,2,31,22,55
ARO,Dyer Brook,5,51,83,139
ARO,E Twp,2,13,23,38
ARO,Eagle Lake/T15 R6 WELS Twp,32,239,188,459
ARO,Easton,38,348,302,688
ARO,Fort Fairfield,131,818,666,1615
ARO,Fort Kent,160,1110,838,2108
ARO,Frenchville,43,264,278,585
ARO,Garfield Plantation,3,24,26,53
ARO,Glenwood Plantation,0,2,2,4
ARO,Grand Isle,20,110,89,219
ARO,Hamlin,5,54,46,105
ARO,Hammond,1,23,29,53
ARO,Haynesville,4,27,33,64
ARO,Hersey,3,12,24,39
ARO,Hodgdon/Cary Twp,42,281,498,821
ARO,Houlton,188,1256,1108,2552
ARO,Island Falls,31,164,223,418
ARO,Limestone,61,361,296,718
ARO,Linneus,14,166,322,502
ARO,Littleton,25,215,265,505
ARO,Ludlow,16,89,127,232
ARO,Macwahoc Plantation,4,13,21,38
ARO,Madawaska,261,1037,731,2029
ARO,Madawaska Lake ,7,74,30,111
ARO,Mapleton,59,548,539,1146
ARO,Mars Hill,40,336,335,711
ARO,Masardis,2,68,49,119
ARO,Merrill,10,53,68,131
ARO,Monticello,38,165,187,390
ARO,Moro Plt,1,4,18,23
ARO,Nashville Plt,1,10,10,21
ARO,New Canada,19,80,74,173
ARO,New Limerick,17,142,174,333
ARO,New Sweden,26,164,134,324
ARO,Oakfield,25,159,208,392
ARO,Orient,3,29,31,63
ARO,Oxbow North Twp,0,17,24,41
ARO,Perham,9,99,119,227
ARO,Portage Lake,10,127,123,260
ARO,Presque Isle,340,2218,1453,4011
ARO,Reed Plt,5,26,51,82
ARO,Saint Agatha/Sinclair,35,326,242,603
ARO,Saint Francis,14,105,87,206
ARO,Saint John Plantation,7,77,60,144
ARO,Sherman,17,161,278,456
ARO,Smyrna,10,59,92,161
ARO,Stockholm,14,70,62,146
ARO,T11 R4 WELS Twp,2,9,8,19
ARO,T15 R6 WELS Twp,0,3,0,3
ARO,T7 R5 WELS Twp,0,0,3,3
ARO,TD R2 WELS Twp,4,1,0,5
ARO,Van Buren/Van Buren Cove Twp,101,461,279,841
ARO,Wade,4,81,76,161
ARO,Wallagrass,16,184,102,302
ARO,Washburn,34,376,338,748
ARO,Westfield,19,109,138,266
ARO,Westmanland,4,33,20,57
ARO,Weston/Bancroft Twp,7,66,127,200
ARO,Winterville Plt,16,65,60,141
ARO,Woodland,56,294,325,675
,ARO Total,2492,16727,14996,34215
,,,,,
CUM,Baldwin,79,380,558,1017
CUM,Bridgton,360,1728,1345,3433
CUM,Brunswick,1817,9535,2772,14124
CUM,Cape Elizabeth,848,4742,1155,6745
CUM,Casco,219,1088,913,2220
CUM,Chebeague Island,30,231,43,304
CUM,Cumberland,666,3901,1390,5957
CUM,Falmouth,1037,5621,2151,8809
CUM,Freeport,676,4042,1361,6079
CUM,Frye Island,3,28,16,47
CUM,Gorham,1310,6210,3537,11057
CUM,Gray,532,2774,2094,5400
CUM,Harpswell,281,2392,1132,3805
CUM,Harrison,136,811,687,1634
CUM,Long Island,21,129,49,199
CUM,Naples,201,1118,1151,2470
CUM,New Gloucester,255,1869,1541,3665
CUM,North Yarmouth,295,1856,857,3008
CUM,Portland,8326,24924,4747,37997
CUM,Pownal,118,723,379,1220
CUM,Raymond,272,1650,1240,3162
CUM,Scarborough,1859,8895,4252,15006
CUM,Sebago,96,536,616,1248
CUM,South Portland,2538,9946,2800,15284
CUM,Standish,560,2904,2634,6098
CUM,Westbrook,1763,5919,2570,10252
CUM,Windham,1173,5689,4252,11114
CUM,Yarmouth,778,4206,1130,6114
,CUM Total,26249,113847,47372,187468
,,,,,
FRA,Avon,15,124,136,275
FRA,Carrabassett Valley,35,379,116,530
FRA,Carthage,14,141,164,319
FRA,Chesterville,45,408,362,815
FRA,Coplin Plt,7,71,31,109
FRA,Dallas Plt,13,120,101,234
FRA,Eustis/Twps,29,237,224,490
FRA,Farmington,503,2124,1160,3787
FRA,Industry,25,284,189,498
FRA,Jay,186,1362,1029,2577
FRA,Kingfield,48,471,317,836
FRA,New Sharon,53,458,437,948
FRA,New Vineyard,29,220,203,452
FRA,Phillips/Madrid Twp,33,315,291,639
FRA,Rangeley/Twps,52,390,392,834
FRA,Rangeley Plt,8,64,79,151
FRA,Sandy River Plantation,11,58,43,112
FRA,Strong/Twps,45,397,376,818
FRA,Temple,22,182,114,318
FRA,Weld,19,164,134,317
FRA,Wilton/Twps,179,1096,826,2101
FRA,Wyman Twp,0,2,7,9
,FRA Total,1371,9067,6731,17169
,,,,,
HAN,Amherst,10,79,106,195
HAN,Aurora,3,29,37,69
HAN,Bar Harbor,602,2253,641,3496
HAN,Blue Hill,230,1270,490,1990
HAN,Brooklin,71,416,140,627
HAN,Brooksville,68,428,165,661
HAN,Bucksport,243,1522,1047,2812
HAN,Castine,66,378,91,535
HAN,Cranberry Isles,18,89,19,126
HAN,Dedham,88,585,470,1143
HAN,Deer Isle,116,822,348,1286
HAN,Eastbrook,7,121,117,245
HAN,Ellsworth/Fletchers Landing Twp,534,2433,1811,4778
HAN,Franklin/Twps,84,442,402,928
HAN,Frenchboro,0,13,13,26
HAN,Gouldsboro/T7 SD Twp,92,521,506,1119
HAN,Great Pond,3,14,22,39
HAN,Hancock,127,731,590,1448
HAN,Lamoine,120,629,445,1194
HAN,Mariaville,32,142,154,328
HAN,Mount Desert,182,908,274,1364
HAN,Orland,147,781,562,1490
HAN,Osborn,2,15,25,42
HAN,Otis,26,204,252,482
HAN,Penobscot,90,483,246,819
HAN,Sedgwick,106,494,239,839
HAN,Sorrento,19,86,91,196
HAN,Southwest Harbor,149,684,267,1100
HAN,Stonington,66,405,137,608
HAN,Sullivan,81,351,282,714
HAN,Surry,107,619,396,1122
HAN,Swans Island,22,139,121,282
HAN,T22 MD Twp,0,0,2,2
HAN,T3 ND Twp,1,4,3,8
HAN,Tremont,89,599,325,1013
HAN,Trenton,80,563,334,977
HAN,Verona Island,28,178,141,347
HAN,Waltham,15,93,133,241
HAN,Winter Harbor,29,143,141,313
,HAN Total,3753,19666,11585,35004
,,,,,
KEN,Albion/Unity Twp,65,490,628,1183
KEN,Augusta,1077,5352,3188,9617
KEN,Belgrade,115,1160,917,2192
KEN,Benton,97,607,764,1468
KEN,Chelsea,110,752,670,1532
KEN,China,175,1218,1112,2505
KEN,Clinton,121,722,831,1674
KEN,Farmingdale,116,1024,629,1769
KEN,Fayette,63,412,362,837
KEN,Gardiner,30,1845,1083,2958
KEN,Hallowell,209,1231,332,1772
KEN,Litchfield,110,1086,1027,2223
KEN,Manchester,107,900,646,1653
KEN,Monmouth,147,1261,1116,2524
KEN,Mount Vernon,72,609,465,1146
KEN,Oakland,286,1845,1479,3610
KEN,Pittston,98,813,873,1784
KEN,Randolph,115,301,260,676
KEN,Readfield,123,963,684,1770
KEN,Rome,41,378,264,683
KEN,Sidney,194,1427,1404,3025
KEN,Vassalboro,185,1294,1109,2588
KEN,Vienna,20,230,161,411
KEN,Waterville,1426,3755,1896,7077
KEN,Wayne,63,495,282,840
KEN,West Gardiner,160,1193,1047,2400
KEN,Windsor,104,647,762,1513
KEN,Winslow,413,2205,1858,4476
KEN,Winthrop,282,2179,1321,3782
,KEN Total,6124,36394,27170,69688
,,,,,
KNO,Appleton,98,458,332,888
KNO,Camden,457,2519,573,3549
KNO,Cushing,79,496,428,1003
KNO,Friendship,58,329,428,815
KNO,Hope,97,632,367,1096
KNO,Isle Au Haut,5,44,9,58
KNO,Matinicus Isle Plt,6,31,7,44
KNO,North Haven,42,195,50,287
KNO,Owls Head,117,583,382,1082
KNO,Rockland,557,2287,911,3755
KNO,Rockport,312,1539,602,2453
