cty,municipality,repubican,democrat,blank ,tbc
ARO,Allagash,86,59,9,154
ARO,Ashland/Twps,473,173,31,677
ARO,Caribou/Connor Twp,2645,1278,94,4017
ARO,Castle Hill,134,75,11,220
ARO,Caswell,86,36,4,126
ARO,Chapman,187,70,17,274
ARO,Cross Lake Twp,98,61,4,163
ARO,Cyr Plt,34,25,0,59
ARO,Eagle Lake/T15 R6 WELS Twp,313,156,20,489
ARO,Fort Fairfield,1075,560,61,1696
ARO,Fort Kent,1399,709,123,2231
ARO,Frenchville,415,185,25,625
ARO,Garfield Plt,40,9,7,56
ARO,Grand Isle,130,93,14,237
ARO,Hamlin,78,29,3,110
ARO,Limestone,463,260,33,756
ARO,Madawaska,1143,906,102,2151
ARO,Madawaska Lake,55,56,3,114
ARO,Mapleton,859,302,34,1195
ARO,Masardis,88,35,4,127
ARO,Nashville Plt,11,9,2,22
ARO,New Canada,121,50,5,176
ARO,New Sweden,215,115,17,347
ARO,Perham,174,55,13,242
ARO,Portage Lake,185,77,10,272
ARO,Saint Agatha/Sinclair,370,211,60,641
ARO,Saint Francis,119,94,20,233
ARO,Saint John Plt,99,46,9,154
ARO,Stockholm,90,56,9,155
ARO,T15 R6 WELS Twp,3,0,0,3
ARO,Van Buren,545,325,44,914
ARO,Wade,114,53,7,174
ARO,Wallagrass,193,112,12,317
ARO,Washburn,562,187,50,799
ARO,Westmanland,40,20,3,63
ARO,Winterville Plt,86,54,6,146
ARO,Woodland,470,209,21,700
,STATE UOCAVA,50,142,14,206
ARO,Amity,111,38,11,160
ARO,Benedicta Twp/Siliver Ridge Twp,131,34,8,173
ARO,Blaine,285,64,36,385
ARO,Bridgewater,216,75,13,304
ARO,Crystal,120,37,3,160
ARO,Dyer Brook,100,41,11,152
ARO,E Twp,31,6,6,43
ARO,Easton,518,180,20,718
ARO,Glenwood Plt,2,1,1,4
ARO,Hammond,39,15,1,55
ARO,Haynesville,47,18,2,67
ARO,Hersey,29,12,1,42
ARO,Hodgdon/Cary Twp,608,223,28,859
ARO,Houlton,1414,1179,137,2730
ARO,Island Falls,294,140,12,446
ARO,Linneus,371,140,31,542
ARO,Littleton,342,160,43,545
ARO,Ludlow,152,83,22,257
ARO,Macwahoc Plt,26,13,3,42
ARO,Mars Hill,565,167,18,750
ARO,Merrill,91,48,2,141
ARO,Monticello,283,114,26,423
ARO,Moro Plt,20,3,0,23
ARO,New Limerick,215,130,16,361
ARO,Oxbow North Twp,34,9,2,45
ARO,Oakfield,279,119,28,426
ARO,Orient,57,26,2,85
ARO,Presque Isle,2755,1296,146,4197
ARO,Reed Plt,56,19,12,87
ARO,Sherman,333,139,20,492
ARO,Smyrna,108,55,12,175
ARO,T11 R4 WELS Twp,19,7,0,26
ARO,T7 R5 WELS Twp,3,0,0,3
ARO,TD R2 WELS Twp,0,5,0,5
ARO,Westfield,208,60,10,278
ARO,Weston,154,43,15,212
PEN,Chester,230,58,29,317
PEN,Drew Twp,12,4,1,17
PEN,East Millinocket,511,361,52,924
PEN,Herseytown Twp,11,2,1,14
PEN,Kingman Twp,64,5,8,77
PEN,Mattawamkeag/Molunkus Twp,246,145,39,430
PEN,Mattamiscontis Twp,43,12,2,57
PEN,Maxfield,55,13,6,74
PEN,Medway/Twps,480,207,59,746
PEN,Millinocket/Twps,1321,1125,147,2593
PEN,Mount Chase,99,49,7,155
PEN,Patten,326,161,27,514
PEN,Seboeis Plt,15,9,3,27
PEN,Stacyville,128,46,20,194
PEN,Woodville,111,22,15,148
,STATE UOCAVA,27,81,9,117
KEN,Benton,1023,478,85,1586
KEN,Clinton,1109,589,100,1798
PEN,Dixmont,460,257,43,760
PEN,Etna,480,212,39,731
PEN,Newport,1122,622,130,1874
PEN,Plymouth,482,224,77,783
PEN,Stetson,501,239,70,810
SOM,Canaan,807,367,62,1236
SOM,Detroit,282,191,29,502
SOM,Madison,1751,596,125,2472
SOM,Norridgewock,1438,397,106,1941
SOM,Palmyra,778,341,65,1184
SOM,Pittsfield,1098,850,132,2080
SOM,Skowhegan,2720,1330,281,4331
KEN,Unity Twp,10,1,2,13
,STATE UOCAVA,27,46,4,77
PEN,Bradford,526,177,20,723
PEN,Charleston,597,180,22,799
PEN,Corinna,880,301,61,1242
PEN,Corinth,1260,303,49,1612
PEN,Dexter,1161,730,124,2015
PEN,Exeter,398,138,26,562
PEN,Garland,421,190,36,647
PEN,Glenburn,2006,798,106,2910
PEN,Hudson,656,193,28,877
PEN,Kenduskeag,606,164,36,806
PEN,Levant,1261,343,171,1775
PIS,Abbot,240,152,17,409
PIS,Atkinson Township,105,65,2,172
PIS,Beaver Cove,58,50,9,117
PIS,Bowerbank,87,39,2,128
PIS,Brownville/Twps,456,322,32,810
PIS,Dover-Foxcroft,1293,1078,78,2449
PIS,Greenville,640,461,100,1201
PIS,Guilford/Kingsbury Plt,459,302,39,800
PIS,Lake View Plt,81,56,4,141
PIS,Medford,111,62,10,183
PIS,Milo/Orneville Twp,679,558,49,1286
PIS,Monson,330,177,18,525
PIS,Parkman,313,162,17,492
PIS,Piscataquis Twps,61,25,5,91
PIS,Sangerville,477,264,28,769
PIS,Sebec,282,133,14,429
PIS,Shirley,110,51,7,168
PIS,Wellington,78,53,13,144
PIS,Willimantic,68,23,5,96
,STATE UOCAVA,41,74,4,119
FRA,Carrabassett Valley,223,312,18,553
